Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Lat,Lng,called,Trifecta status,Total Mental Health Care HPSA Designations,Population of Designated HPSAs,Percent of Need Met,Practitioners Needed to Remove HPSA Designation
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,35.7,30.5,41.1,30.5 - 41.1,34.8-37.6,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,37.1,32.3,42.0,32.3 - 42.0,35.0-37.9,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,36.3,31.8,41.0,31.8 - 41.0,34.5-38.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,40.9,36.4,45.5,36.4 - 45.5,39.5-45.1,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,38.0,33.4,42.7,33.4 - 42.7,34.9-38.0,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,43.6,38.1,49.3,38.1 - 49.3,42.1-46.5,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,40.0,35.3,44.8,35.3 - 44.8,37.2-40.5,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,38.7,35.5,42.0,35.5 - 42.0,38.3-40.4,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,34.3,30.6,38.1,30.6 - 38.1,33.2-35.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,35.3,31.6,39.1,31.6 - 39.1,33.4-36.2,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,34.7,30.3,39.3,30.3 - 39.3,34.4-36.6,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,37.8,34.6,41.1,34.6 - 41.1,37.2-39.6,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,46.4,41.0,51.9,41.0 - 51.9,43.7-50.1,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,39.6,35.2,44.1,35.2 - 44.1,32.1-39.7,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,39.9,35.3,44.5,35.3 - 44.5,39.3-41.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,45.7,41.8,49.7,41.8 - 49.7,44.2-50.0,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,43.3,38.5,48.3,38.5 - 48.3,42.9-52.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,44.3,40.0,48.6,40.0 - 48.6,43.3-47.5,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,38.7,34.0,43.5,34.0 - 43.5,36.5-38.7,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,40.7,35.8,45.8,35.8 - 45.8,40.2-46.5,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,33.2,28.9,37.8,28.9 - 37.8,25.9-33.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,37.9,33.5,42.5,33.5 - 42.5,36.3-42.6,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,33.6,28.3,39.2,28.3 - 39.2,33.6-42.1,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,29.5,26.0,33.2,26.0 - 33.2,27.4-29.8,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,30.9,26.6,35.4,26.6 - 35.4,29.0-32.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,32.2,27.1,37.6,27.1 - 37.6,31.9-36.5,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,33.6,30.0,37.4,30.0 - 37.4,32.0-39.2,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,30.5,26.0,35.2,26.0 - 35.2,28.2-31.2,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,36.3,32.2,40.6,32.2 - 40.6,34.3-40.9,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,34.8,29.9,39.9,29.9 - 39.9,32.5-39.7,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,34.5,29.8,39.3,29.8 - 39.3,34.1-41.7,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,31.0,27.2,35.0,27.2 - 35.0,29.3-31.1,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,31.3,26.8,36.1,26.8 - 36.1,28.3-31.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,34.3,30.2,38.6,30.2 - 38.6,34.2-38.5,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,29.9,25.4,34.6,25.4 - 34.6,29.6-31.1,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,29.4,25.4,33.5,25.4 - 33.5,24.8-29.7,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,31.9,27.8,36.1,27.8 - 36.1,31.8-33.4,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,29.6,25.7,33.6,25.7 - 33.6,28.8-29.9,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,31.6,27.3,36.1,27.3 - 36.1,30.2-32.7,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,29.4,25.6,33.4,25.6 - 33.4,28.1-30.0,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,30.4,26.4,34.6,26.4 - 34.6,29.9-31.4,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,29.6,25.5,33.9,25.5 - 33.9,25.5-30.3,32.1656221,-82.9000751,D,Republican trifecta,89,5216988.0,0.4191,192.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,37.0,31.4,42.9,31.4 - 42.9,36.8 - 41.4,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,27.1,21.7,33.2,21.7 - 33.2,26.1 - 30.5,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,29.1,23.4,35.4,23.4 - 35.4,23.8-29.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,26.6,21.9,31.7,21.9 - 31.7,24.8-29.5,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,5,"May 28 - June 2, 2020",2020-05-28,2020-06-02,26.1,22.1,30.5,22.1 - 30.5,26.0-31.6,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,6,"June 4 - June 9, 2020",2020-06-04,2020-06-09,27.5,23.6,31.6,23.6 - 31.6,23.0-31.0,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,7,"June 11 - June 16, 2020",2020-06-11,2020-06-16,35.3,29.9,40.9,29.9 - 40.9,35.0-37.9,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,8,"June 18 - June 23, 2020",2020-06-18,2020-06-23,29.4,25.4,33.6,25.4 - 33.6,24.6-31.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,9,"June 25 - June 30, 2020",2020-06-25,2020-06-30,38.3,32.4,44.5,32.4 - 44.5,36.0-39.4,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,10,"July 2 - July 7, 2020",2020-07-02,2020-07-07,37.1,32.3,42.2,32.3 - 42.2,34.9-38.0,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,11,"July 9 - July 14, 2020",2020-07-09,2020-07-14,36.7,31.5,42.1,31.5 - 42.1,34.8-38.3,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,12,"July 16 - July 21, 2020",2020-07-16,2020-07-21,41.3,36.1,46.7,36.1 - 46.7,40.6-43.5,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2,13,"Aug 19 - Aug 31, 2020",2020-08-19,2020-08-31,40.0,35.4,44.7,35.4 - 44.7,38.3-40.4,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2,14,"Sep 2 - Sep 14, 2020",2020-09-02,2020-09-14,39.4,35.0,44.0,35.0 - 44.0,38.2-41.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2,15,"Sep 16 - Sep 28, 2020",2020-09-16,2020-09-28,33.3,29.3,37.5,29.3 - 37.5,27.3-33.3,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2,16,"Sep 30 - Oct 12, 2020",2020-09-30,2020-10-12,40.2,34.6,46.0,34.6 - 46.0,38.9-44.0,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,2,17,"Oct 14 - Oct 26, 2020",2020-10-14,2020-10-26,38.8,34.2,43.6,34.2 - 43.6,37.2-39.6,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Oct 28 � Dec 21),18,"Oct 28 - Nov 9, 2020",2020-10-28,2020-11-09,43.4,36.5,50.4,36.5 - 50.4,41.7-43.6,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Oct 28 � Dec 21),19,"Nov 11 - Nov 23, 2020",2020-11-11,2020-11-23,32.1,27.4,36.9,27.4 - 36.9,32.1-39.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Oct 28 � Dec 21),20,"Nov 25 - Dec 7, 2020",2020-11-25,2020-12-07,40.7,35.1,46.5,35.1 - 46.5,39.3-41.3,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Oct 28 � Dec 21),21,"Dec 9 - Dec 21, 2020",2020-12-09,2020-12-21,37.6,30.9,44.7,30.9 - 44.7,31.8-39.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Jan 6 � Mar 29),22,"Jan 6 - Jan 18, 2021",2021-01-06,2021-01-18,38.1,32.4,44.0,32.4 - 44.0,33.6-38.4,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Jan 6 � Mar 29),23,"Jan 20 - Feb 1, 2021",2021-01-20,2021-02-01,37.6,33.0,42.4,33.0 - 42.4,28.8-37.6,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Jan 6 � Mar 29),24,"Feb 3 - Feb 15, 2021",2021-02-03,2021-02-15,33.6,28.5,39.0,28.5 - 39.0,29.2-36.4,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Jan 6 � Mar 29),25,"Feb 17 - Mar 1, 2021",2021-02-17,2021-03-01,34.6,29.0,40.5,29.0 - 40.5,25.5-35.9,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Jan 6 � Mar 29),26,"Mar 3 - Mar 15, 2021",2021-03-03,2021-03-15,30.6,23.6,38.4,23.6 - 38.4,25.9-33.3,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3 (Jan 6 � Mar 29),27,"Mar 17 - Mar 29, 2021",2021-03-17,2021-03-29,28.4,22.6,34.7,22.6 - 34.7,24.9-32.0,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.1,28,"Apr 14 - Apr 26, 2021",2021-04-14,2021-04-26,28.5,23.7,33.7,23.7 - 33.7,22.0-28.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.1,29,"Apr 28 - May 10, 2021",2021-04-28,2021-05-10,23.2,19.2,27.5,19.2 - 27.5,23.2-27.3,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.1,30,"May 12 - May 24, 2021",2021-05-12,2021-05-24,25.5,19.6,32.0,19.6 - 32.0,23.2-27.1,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.1,31,"May 26 - Jun 7, 2021",2021-05-26,2021-06-07,29.3,23.9,35.2,23.9 - 35.2,29.3-31.8,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.1,32,"Jun 9 - Jun 21, 2021",2021-06-09,2021-06-21,24.9,21.3,28.8,21.3 - 28.8,21.0-26.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.1,33,"Jun 23 - Jul 5, 2021",2021-06-23,2021-07-05,32.9,25.3,41.3,25.3 - 41.3,31.3-37.5,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.2,34,"Jul 21 - Aug 2, 2021",2021-07-21,2021-08-02,28.0,21.7,35.1,21.7 - 35.1,27.1-30.9,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.2,35,"Aug 4 - Aug 16, 2021",2021-08-04,2021-08-16,30.5,24.2,37.4,24.2 - 37.4,30.4-32.4,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.2,36,"Aug 18 - Aug 30, 2021",2021-08-18,2021-08-30,31.8,27.3,36.6,27.3 - 36.6,31.6-34.0,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.2,37,"Sep 1 - Sep 13, 2021",2021-09-01,2021-09-13,30.0,25.3,35.0,25.3 - 35.0,29.3-31.1,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.2,38,"Sep 15 - Sep 27, 2021",2021-09-15,2021-09-27,34.5,28.1,41.3,28.1 - 41.3,31.4-35.6,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.2,39,"Sep 29 - Oct 11, 2021",2021-09-29,2021-10-11,32.5,26.6,38.8,26.6 - 38.8,32.0-34.1,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.3,40,"Dec 1 - Dec 13, 2021",2021-12-01,2021-12-13,31.9,25.0,39.4,25.0 - 39.4,31.2-33.2,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.3,41,"Dec 29, 2021 - Jan 10, 2022",2021-12-29,2022-01-10,32.1,27.4,37.2,27.4 - 37.2,29.8-32.2,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.3,42,"Jan 26 - Feb 7, 2022",2022-01-26,2022-02-07,33.1,29.3,37.2,29.3 - 37.2,31.8-33.4,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.4,43,"Mar 2 - Mar 14, 2022",2022-03-02,2022-03-14,26.9,22.1,32.1,22.1 - 32.1,24.3-28.7,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.4,44,"Mar 30 - Apr 11, 2022",2022-03-30,2022-04-11,26.6,20.3,33.8,20.3 - 33.8,25.0-28.5,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.4,45,"Apr 27 - May 9, 2022",2022-04-27,2022-05-09,24.5,18.4,31.5,18.4 - 31.5,19.2-28.0,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.5,46,"Jun 1 - Jun 13, 2022",2022-06-01,2022-06-13,24.5,19.7,29.9,19.7 - 29.9,24.5-29.8,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,3.5,47,"Jun 29 - Jul 11, 2022",2022-06-29,2022-07-11,31.0,24.5,38.2,24.5 - 38.2,30.4-33.1,19.8967662,-155.5827818,D,Democratic trifecta,31,496032.0,0.1422,28.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,1,"Apr 23 - May 5, 2020",2020-04-23,2020-05-05,33.3,29.9,36.8,29.9 - 36.8,25.6 - 33.3,44.0682019,-114.7420408,R,Republican trifecta,66,1746975.0,0.2982,65.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,2,"May 7 - May 12, 2020",2020-05-07,2020-05-12,29.2,24.0,34.9,24.0 - 34.9,26.1 - 30.5,44.0682019,-114.7420408,R,Republican trifecta,66,1746975.0,0.2982,65.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,3,"May 14 - May 19, 2020",2020-05-14,2020-05-19,27.6,22.5,33.2,22.5 - 33.2,23.8-29.7,44.0682019,-114.7420408,R,Republican trifecta,66,1746975.0,0.2982,65.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,4,"May 21 - May 26, 2020",2020-05-21,2020-05-26,24.8,20.0,30.2,20.0 - 30.2,24.8-29.5,44.0682019,-114.7420408,R,Republican trifecta,66,1746975.0,0.2982,65.0
