,Group,Subgroup,Value,Time Period Start Date,Time Period Label,Date
778,By Sex,Male,37.0,07/16/2020,"July 16 - July 21, 2020",2020-07-16
787,By Education,Some college/Associate's degree,43.3,07/16/2020,"July 16 - July 21, 2020",2020-07-16
801,By State,Idaho,45.5,07/16/2020,"July 16 - July 21, 2020",2020-07-16
786,By Education,High school diploma or GED,42.2,07/16/2020,"July 16 - July 21, 2020",2020-07-16
800,By State,Hawaii,41.3,07/16/2020,"July 16 - July 21, 2020",2020-07-16
799,By State,Georgia,40.0,07/16/2020,"July 16 - July 21, 2020",2020-07-16
798,By State,Florida,40.5,07/16/2020,"July 16 - July 21, 2020",2020-07-16
796,By State,Delaware,36.6,07/16/2020,"July 16 - July 21, 2020",2020-07-16
795,By State,Connecticut,35.1,07/16/2020,"July 16 - July 21, 2020",2020-07-16
797,By State,District of Columbia,36.1,07/16/2020,"July 16 - July 21, 2020",2020-07-16
793,By State,California,44.1,07/16/2020,"July 16 - July 21, 2020",2020-07-16
792,By State,Arkansas,43.5,07/16/2020,"July 16 - July 21, 2020",2020-07-16
791,By State,Arizona,44.9,07/16/2020,"July 16 - July 21, 2020",2020-07-16
790,By State,Alaska,38.8,07/16/2020,"July 16 - July 21, 2020",2020-07-16
789,By State,Alabama,43.3,07/16/2020,"July 16 - July 21, 2020",2020-07-16
788,By Education,Bachelor's degree or higher,35.7,07/16/2020,"July 16 - July 21, 2020",2020-07-16
794,By State,Colorado,41.5,07/16/2020,"July 16 - July 21, 2020",2020-07-16
909,By State,New Mexico,38.9,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
904,By State,Montana,30.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
908,By State,New Jersey,37.8,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
907,By State,New Hampshire,31.5,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
906,By State,Nevada,40.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
905,By State,Nebraska,32.0,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
903,By State,Missouri,33.5,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
896,By State,Louisiana,39.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
901,By State,Minnesota,31.8,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
900,By State,Michigan,36.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
899,By State,Massachusetts,35.8,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
898,By State,Maryland,34.1,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
897,By State,Maine,39.3,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
910,By State,New York,34.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
902,By State,Mississippi,33.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
911,By State,North Carolina,32.3,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
928,By State,Wyoming,35.6,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
913,By State,Ohio,37.3,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
895,By State,Kentucky,38.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
927,By State,Wisconsin,29.1,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
926,By State,West Virginia,34.5,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
925,By State,Washington,37.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
924,By State,Virginia,35.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
923,By State,Vermont,32.0,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
922,By State,Utah,34.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
921,By State,Texas,37.1,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
920,By State,Tennessee,38.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
919,By State,South Dakota,24.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
918,By State,South Carolina,30.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
917,By State,Rhode Island,34.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
916,By State,Pennsylvania,35.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
915,By State,Oregon,38.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
914,By State,Oklahoma,38.6,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
912,By State,North Dakota,29.6,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
894,By State,Kansas,35.9,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
876,By Education,Some college/Associate's degree,39.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
892,By State,Indiana,38.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
872,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",30.5,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
871,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",37.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
870,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",35.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
869,By Race/Hispanic ethnicity,Hispanic or Latino,40.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
868,By Sex,Female,40.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
867,By Sex,Male,31.8,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
873,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",43.1,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
866,By Age,80 years and above,19.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
864,By Age,60 - 69 years,29.3,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
863,By Age,50 - 59 years,34.9,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
862,By Age,40 - 49 years,37.6,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
861,By Age,30 - 39 years,42.5,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
860,By Age,18 - 29 years,49.0,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
859,National Estimate,United States,36.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
865,By Age,70 - 79 years,23.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
874,By Education,Less than a high school diploma,41.8,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
893,By State,Iowa,33.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
891,By State,Illinois,38.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
875,By Education,High school diploma or GED,36.3,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
890,By State,Idaho,32.6,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
889,By State,Hawaii,40.0,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
888,By State,Georgia,38.7,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
886,By State,District of Columbia,35.3,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
885,By State,Delaware,30.5,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
884,By State,Connecticut,38.8,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
887,By State,Florida,39.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
882,By State,California,38.0,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
881,By State,Arkansas,35.3,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
880,By State,Arizona,35.1,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
879,By State,Alaska,34.8,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
878,By State,Alabama,37.2,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
877,By Education,Bachelor's degree or higher,32.4,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
883,By State,Colorado,37.6,08/19/2020,"Aug 19 - Aug 31, 2020",2020-08-19
974,By State,Montana,33.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
979,By State,New Mexico,40.2,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
978,By State,New Jersey,35.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
977,By State,New Hampshire,34.9,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
976,By State,Nevada,37.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
975,By State,Nebraska,30.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
972,By State,Mississippi,38.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
998,By State,Wyoming,33.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
970,By State,Michigan,36.2,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
969,By State,Massachusetts,32.7,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
968,By State,Maryland,35.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
967,By State,Maine,33.7,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
966,By State,Louisiana,41.7,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
980,By State,New York,37.7,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
971,By State,Minnesota,30.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
981,By State,North Carolina,32.2,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
990,By State,Tennessee,32.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
983,By State,Ohio,36.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
997,By State,Wisconsin,31.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
996,By State,West Virginia,38.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
995,By State,Washington,35.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
994,By State,Virginia,33.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
993,By State,Vermont,34.5,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
992,By State,Utah,33.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
982,By State,North Dakota,26.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
991,By State,Texas,38.2,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
989,By State,South Dakota,29.9,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
988,By State,South Carolina,31.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
987,By State,Rhode Island,34.9,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
986,By State,Pennsylvania,34.7,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
985,By State,Oregon,40.9,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
984,By State,Oklahoma,38.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
965,By State,Kentucky,40.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
964,By State,Kansas,32.5,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
973,By State,Missouri,33.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
962,By State,Indiana,33.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
943,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",47.8,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
942,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",27.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
941,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",38.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
940,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",34.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
939,By Race/Hispanic ethnicity,Hispanic or Latino,42.0,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
938,By Sex,Female,39.9,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
937,By Sex,Male,32.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
936,By Age,80 years and above,22.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
935,By Age,70 - 79 years,23.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
934,By Age,60 - 69 years,29.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
933,By Age,50 - 59 years,35.0,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
932,By Age,40 - 49 years,38.2,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
931,By Age,30 - 39 years,41.8,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
930,By Age,18 - 29 years,47.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
963,By State,Iowa,32.0,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
944,By Education,Less than a high school diploma,45.5,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
945,By Education,High school diploma or GED,35.7,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
929,National Estimate,United States,36.2,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
947,By Education,Bachelor's degree or higher,31.8,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
946,By Education,Some college/Associate's degree,39.0,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
960,By State,Idaho,35.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
959,By State,Hawaii,39.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
958,By State,Georgia,34.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
957,By State,Florida,36.4,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
956,By State,District of Columbia,36.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
955,By State,Delaware,33.3,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
961,By State,Illinois,37.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
953,By State,Colorado,36.7,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
952,By State,California,39.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
951,By State,Arkansas,41.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
950,By State,Arizona,39.0,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
949,By State,Alaska,33.6,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
948,By State,Alabama,38.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
954,By State,Connecticut,36.1,09/02/2020,"Sep 2 - Sep 14, 2020",2020-09-02
1036,By State,Louisiana,44.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1049,By State,New Mexico,43.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1048,By State,New Jersey,38.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1047,By State,New Hampshire,32.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1046,By State,Nevada,42.8,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1045,By State,Nebraska,30.8,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1044,By State,Montana,38.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1041,By State,Minnesota,30.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1042,By State,Mississippi,38.0,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1040,By State,Michigan,33.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1039,By State,Massachusetts,38.4,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1038,By State,Maryland,35.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1037,By State,Maine,33.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1050,By State,New York,36.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1043,By State,Missouri,33.8,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1051,By State,North Carolina,32.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1059,By State,South Dakota,27.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1053,By State,Ohio,36.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1035,By State,Kentucky,39.8,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1068,By State,Wyoming,33.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1067,By State,Wisconsin,30.8,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1066,By State,West Virginia,39.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1065,By State,Washington,39.9,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1064,By State,Virginia,36.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1063,By State,Vermont,36.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1062,By State,Utah,38.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1061,By State,Texas,39.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1060,By State,Tennessee,35.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1058,By State,South Carolina,35.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1057,By State,Rhode Island,38.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1056,By State,Pennsylvania,34.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1055,By State,Oregon,47.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1054,By State,Oklahoma,34.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1052,By State,North Dakota,27.7,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1034,By State,Kansas,35.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1008,By Sex,Female,41.4,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1032,By State,Indiana,36.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1013,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",44.4,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1011,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",37.4,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1010,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",35.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1009,By Race/Hispanic ethnicity,Hispanic or Latino,44.4,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1033,By State,Iowa,34.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1007,By Sex,Male,32.7,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1014,By Education,Less than a high school diploma,44.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1006,By Age,80 years and above,19.1,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1004,By Age,60 - 69 years,30.7,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1003,By Age,50 - 59 years,35.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1002,By Age,40 - 49 years,39.0,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1001,By Age,30 - 39 years,43.0,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1000,By Age,18 - 29 years,49.9,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
999,National Estimate,United States,37.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1005,By Age,70 - 79 years,23.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1015,By Education,High school diploma or GED,36.7,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1012,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",30.1,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1017,By Education,Bachelor's degree or higher,33.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1031,By State,Illinois,36.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1030,By State,Idaho,33.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1029,By State,Hawaii,33.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1028,By State,Georgia,35.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1016,By Education,Some college/Associate's degree,39.7,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1026,By State,District of Columbia,46.4,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1025,By State,Delaware,28.0,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1027,By State,Florida,36.4,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1023,By State,Colorado,37.7,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1022,By State,California,42.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1021,By State,Arkansas,31.6,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1020,By State,Arizona,39.3,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1019,By State,Alaska,35.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1018,By State,Alabama,37.2,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1024,By State,Connecticut,33.5,09/16/2020,"Sep 16 - Sep 28, 2020",2020-09-16
1115,By State,Nebraska,32.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1120,By State,New York,35.2,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1119,By State,New Mexico,41.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1118,By State,New Jersey,39.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1117,By State,New Hampshire,31.4,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1116,By State,Nevada,43.3,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1114,By State,Montana,32.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1106,By State,Louisiana,41.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1121,By State,North Carolina,35.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1111,By State,Minnesota,30.7,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1110,By State,Michigan,37.0,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1109,By State,Massachusetts,37.6,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1108,By State,Maryland,36.9,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1107,By State,Maine,36.3,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1113,By State,Missouri,36.4,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1122,By State,North Dakota,27.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1112,By State,Mississippi,35.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1124,By State,Oklahoma,38.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1105,By State,Kentucky,42.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1138,By State,Wyoming,33.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1137,By State,Wisconsin,34.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1136,By State,West Virginia,42.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1135,By State,Washington,38.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1134,By State,Virginia,32.9,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1133,By State,Vermont,44.0,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1132,By State,Utah,36.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1131,By State,Texas,38.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1130,By State,Tennessee,36.2,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1129,By State,South Dakota,31.3,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1128,By State,South Carolina,32.9,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1127,By State,Rhode Island,35.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1126,By State,Pennsylvania,37.7,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1125,By State,Oregon,39.0,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1123,By State,Ohio,38.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1104,By State,Kansas,36.2,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1103,By State,Iowa,29.6,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1102,By State,Indiana,34.3,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1083,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",45.7,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1082,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",29.2,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1081,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",39.7,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1080,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",35.9,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1079,By Race/Hispanic ethnicity,Hispanic or Latino,43.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1078,By Sex,Female,41.6,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1084,By Education,Less than a high school diploma,43.2,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1077,By Sex,Male,33.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1075,By Age,70 - 79 years,22.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1074,By Age,60 - 69 years,29.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1073,By Age,50 - 59 years,34.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1072,By Age,40 - 49 years,39.9,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1071,By Age,30 - 39 years,43.2,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1070,By Age,18 - 29 years,52.8,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1076,By Age,80 years and above,17.9,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1085,By Education,High school diploma or GED,37.1,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1069,National Estimate,United States,37.5,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1087,By Education,Bachelor's degree or higher,33.3,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1101,By State,Illinois,36.6,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1100,By State,Idaho,33.3,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1099,By State,Hawaii,40.2,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
1098,By State,Georgia,34.7,09/30/2020,"Sep 30 - Oct 12, 2020",2020-09-30
